Category,Value,Text
Promid,88400,Brandes Investment Partners (EU) Ltd (IE )
Promid,70098,BREC Management SARL (LU )
Promid,115297,Bridge Fund Services (IE )
Promid,83334,Broca S.A. (LU )
Promid,114125,Brock Milton Capital AB (SE )
Promid,73993,BRODE Capital Partners Sàrl (LU )
Promid,87698,Brooks Macdonald Funds Limited (GB )
Promid,73997,"Brown Advisory, LLC (US )"
Promid,80195,Brown Shipley & Company Limited (GB )
Promid,14889,Bruellan S.A. (CH )
Promid,19484,Bruno Walter Finance S.A. (CH )
Promid,95388,BRW Finanz AG (DE )
Promid,83456,BTC Investments 2012 S.à r.l. (LU )
Promid,2361,BTG Pactual Europe S.A. (LU )
Promid,91600,"Büttner, Kolber & Partner Ver. GmbH (DE )"
Promid,97995,"Buy & Hold Capital S.G.I.I.C, S.A (ES )"
Promid,108297,BVT Lux S.a r.l. (LU )
Promid,20789,BZ Bank Aktiengesellschaft (CH )
Promid,14933,BZ Berater Zentrum AG (CH )
Promid,93343,C QUADRAT ASSET MANAGEMENT FRANCE (FR )
Promid,4532,C WorldWide Fund Management S.A. (LU )
Promid,93167,C&D Investments S.à r.l. (LU )
Promid,87447,C&M Finances (FR )
Promid,108497,CA Indosuez (FR )
Promid,4856,CA Indosuez Fund Solutions (LU )
Promid,10872,CA Indosuez Gestion (FR )
Promid,2758,"CACEIS Bank, Luxembourg Branch (LU )"
Promid,14886,"CACEIS Bank, Switzerland Branch (CH )"
Promid,71638,Cadelux S.A. (LU )
Promid,70837,CAERUS Debt Investments AG (DE )
Promid,1737,Caisse des Dépôts et Consignations (FR )
Promid,4388,CAIXABANK Asset Management Lux S.A. (LU )
Promid,22372,Calamos Advisors LLC (US )
Promid,113941,Calamos Antetokounmpo Asset Mgt LLC (US )
Promid,84143,Calibrium AG (CH )
Promid,18487,CAM Alternatives GmbH (DE )
Promid,73555,Cambridge Associates Limited (GB )
Promid,2914,Camca Assurance S.A. (LU )
Promid,2216,Camca Réassurance S.A. (LU )
Promid,19439,CamGestion (FR )
Promid,84548,Canaccord Genuity Wealth Limited (GB )
Promid,107411,Candoris (NL )
Promid,2900,Candriam (LU )
Promid,2901,Candriam Belgium (BE )
Promid,2236,Candriam France SA (FR )
Promid,78418,Cantillon Capital Management LLP (US )
Promid,74024,Cape Capital AG (CH )
Promid,16637,Capfi Delen Asset Management S.A. (BE )
Promid,87296,Capital Advisory Partners Ltd (GB )
Promid,73287,Capital Bank – GRAWE Gruppe AG (AT )
Promid,17111,Capital Dynamics Cayman Islands Ltd (KY )
Promid,88210,"Capital International Financial, LLC (US )"
Promid,71454,Capital Invest S.A. (MA )
Promid,17812,CapitalAtWork Foyer Group S.A. (LU )
Promid,70073,Capitell Vermögens-Management AG (DE )
Promid,88561,Capitulum Asset Management GmbH (DE )
Promid,17000,CapMan Real Estate Oy (FI )
Promid,16290,"Capricorn Investment Group, LLC (US )"
Promid,68274,Capricorn Venture Partners N.V. (BE )
Promid,21317,Cardea International Management S.A. (LU )
Promid,66396,CARDIF ASSURANCE-VIE (FR )
Promid,20527,Cardif Lux Vie S.A. (LU )
Promid,1749,Cargill Investor Services Inc. (GB )
Promid,16962,Carlisle Management Company S.C.A. (LU )
Promid,2218,Carmignac Gestion Luxembourg (LU )
Promid,5605,Carmignac Gestion S.A. (FR )
Promid,71244,Carne Global Fund Managers (IE) Ld (IE )
Promid,17702,Carne Global Fund Managers (Lux) SA (LU )
Promid,1875,Carnegie Fonder AB (SE )
